Name,Comp_Class,Type
"1,13,14,15,18,19,20,34,35,39,39-Undecahydroxy-2,5,10,23,31-pentaoxo-6,9,24,27,30,40-hexaoxaoctacyclo[34.3.1.0~4,38~.0~7,26~.0~8,29~.0~11,16~.0~17,22~.0~32,37~]tetraconta-3,11,13,15,17,19,21,32,34,36-d
ecaen-28-yl 3,4,5-trihydroxybenzoate",ellagitannins,
"1,2,3,4,6-Pentagalloyl glucose",galloylglucose,
"1,2,3,4,6-Pentagalloyl glucose (PGG)",galloylglucose,
"1,2,3,6-Tetra-O-galloyl-β-D-glucose",galloylglucose,
"1,3,6-Trigalloyl glucose",galloylglucose,
"1,6-Bis-O-(3,4,5-trihydroxybenzoyl)hexopyranose",galloylglucose,
"1,6-bis-O-galloyl-beta-D-glucose",galloylglucose,
"2,3,4,5,6,7-Hexahydroxy-9,17-dioxo-9,11,11a,13,14,15,15a,17-octahydrodibenzo[g,i]pyrano[3,2-b][1,5]dioxacycloundecine-13,14,15-triyl tris(3,4,5-trihydroxybenzoate)",ellagitannins,
"3-{5-[({2,3,4,5,6,7-Hexahydroxy-9,17-dioxo-13,15-bis[(3,4,5-trihydroxybenzoyl)oxy]-9,11,11a,13,14,15,15a,17-octahydrodibenzo[g,i]pyrano[3,2-b][1,5]dioxacycloundecin-14-yl}oxy)carbonyl]-3-hydroxy-2-oxi
dophenoxy}-2,5,6,7-tetrahydroxy-9,17-dioxo-13,14,15-tris[(3,4,5-trihydroxybenzoyl)oxy]-9,11,11a,13,14,15,15a,17-octahydrodibenzo[g,i]pyrano[3,2-b][1,5]dioxacycloundecin-4-olate",ellagitannins,
"3-O-[3-({3,4-Dihydroxy-5-[(3,4,5-trihydroxybenzoyl)oxy]benzoyl}oxy)-4,5-dihydroxybenzoyl]-1,2,4,6-tetrakis-O-(3,4,5-trihydroxybenzoyl)-beta-D-glucopyranose",gallotannins,
"3,4,3'-Tri-O-methylellagic acid",ellagitannins,
"3,7-Dihydroxy-8-methoxy-5,10-dioxo-5,10-dihydrochromeno[5,4,3-cde]chromen-2-yl beta-D-xylopyranoside",ellagitannins,
"3,8-Di-O-methylellagic acid",ellagitannins,
6-O-Galloyl-glucose,galloylglucose,
brevifolin carboxylic acid,phenol,
Casuarictin,ellagitannins,
casuarinin,ellagitannins,
chebulinic acid,ellagitannins,
Ellagic acid,ellagitannins,
Ellagic acid - STD,ellagitannins,
eugeniin,ellagitannins,
flavellagic acid,ellagitannins,
Gallic acid,phenol,
Gallic acid - STD,phenol,
Glucogallin,galloylglucose,
